date,The Home Depot
2014-02-20,19.09
2014-02-21,19.32
2014-02-22,21.85
2014-02-23,23.0
2014-02-24,23.0
2014-02-25,18.17
2014-02-26,16.330000000000002
2014-02-27,20.01
2014-02-28,19.78
2014-03-01,22.75
2014-03-02,19.75
2014-03-03,16.5
2014-03-04,16.0
2014-03-05,17.25
2014-03-06,17.75
2014-03-07,17.25
2014-03-08,22.5
2014-03-09,19.5
2014-03-10,18.25
2014-03-11,17.5
2014-03-12,18.5
2014-03-13,18.0
2014-03-14,19.75
2014-03-15,22.75
2014-03-16,22.5
2014-03-17,18.0
2014-03-18,18.75
2014-03-19,16.75
2014-03-20,17.25
2014-03-21,20.25
2014-03-22,25.0
2014-03-23,25.0
2014-03-24,20.25
2014-03-25,17.0
2014-03-26,16.25
2014-03-27,16.5
2014-03-28,18.0
2014-03-29,20.0
