date,Intel
2013-04-06,53.120000000000005
2013-04-07,48.0
2013-04-08,53.76
2013-04-09,55.04
2013-04-10,59.52
2013-04-11,58.24
2013-04-12,53.76
2013-04-13,53.76
2013-04-14,45.44
2013-04-15,51.84
2013-04-16,57.6
2013-04-17,57.6
2013-04-18,56.96
2013-04-19,51.2
2013-04-20,45.44
2013-04-21,47.36
2013-04-22,55.68
2013-04-23,55.68
2013-04-24,64.0
2013-04-25,55.04
2013-04-26,55.04
2013-04-27,49.28
2013-04-28,47.36
2013-04-29,49.28
2013-04-30,56.32
2013-05-01,57.2
2013-05-02,63.7
2013-05-03,63.050000000000004
2013-05-04,49.4
2013-05-05,50.7
2013-05-06,58.5
2013-05-07,61.75
2013-05-08,58.5
2013-05-09,60.45
2013-05-10,55.25
2013-05-11,51.35
2013-05-12,48.1
2013-05-13,55.25
2013-05-14,53.300000000000004
2013-05-15,58.5
2013-05-16,57.2
2013-05-17,65.0
2013-05-18,51.35
2013-05-19,53.300000000000004
2013-05-20,61.75
2013-05-21,61.1
2013-05-22,61.75
2013-05-23,61.75
2013-05-24,56.550000000000004
2013-05-25,49.4
2013-05-26,51.35
2013-05-27,54.6
2013-05-28,55.25
2013-05-29,61.75
2013-05-30,55.25
2013-05-31,57.85
2013-06-01,53.199999999999996
2013-06-02,68.6
2013-06-03,67.19999999999999
2013-06-04,70.0
2013-06-05,63.699999999999996
2013-06-06,58.8
2013-06-07,53.199999999999996
2013-06-08,56.0
2013-06-09,53.199999999999996
2013-06-10,58.8
2013-06-11,64.39999999999999
2013-06-12,59.49999999999999
2013-06-13,62.3
2013-06-14,56.699999999999996
2013-06-15,49.699999999999996
2013-06-16,49.0
2013-06-17,58.8
2013-06-18,57.4
2013-06-19,58.099999999999994
2013-06-20,58.8
2013-06-21,59.49999999999999
2013-06-22,49.0
2013-06-23,47.599999999999994
2013-06-24,54.599999999999994
2013-06-25,57.4
2013-06-26,53.199999999999996
2013-06-27,54.599999999999994
2013-06-28,51.099999999999994
2013-06-29,44.8
2013-06-30,46.199999999999996
2013-07-01,49.580000000000005
2013-07-02,61.64
2013-07-03,56.95
2013-07-04,53.6
2013-07-05,52.260000000000005
2013-07-06,51.59
2013-07-07,51.59
2013-07-08,48.910000000000004
2013-07-09,58.290000000000006
2013-07-10,56.95
2013-07-11,56.95
2013-07-12,58.290000000000006
2013-07-13,54.27
2013-07-14,49.580000000000005
2013-07-15,58.290000000000006
2013-07-16,57.620000000000005
2013-07-17,67.0
2013-07-18,65.66000000000001
2013-07-19,60.300000000000004
2013-07-20,54.27
2013-07-21,54.27
2013-07-22,54.27
2013-07-23,60.300000000000004
2013-07-24,63.650000000000006
2013-07-25,59.63
2013-07-26,57.620000000000005
2013-07-27,49.580000000000005
2013-07-28,52.260000000000005
2013-07-29,56.95
2013-07-30,56.95
2013-07-31,62.31
2013-08-01,62.31
2013-08-02,67.0
2013-08-03,50.92
2013-08-04,56.95
2013-08-05,58.96
2013-08-06,62.980000000000004
2013-08-07,59.63
2013-08-08,63.650000000000006
2013-08-09,60.300000000000004
2013-08-10,50.92
2013-08-11,54.940000000000005
2013-08-12,56.28
2013-08-13,58.96
2013-08-14,62.980000000000004
2013-08-15,64.32000000000001
2013-08-16,58.290000000000006
2013-08-17,54.27
2013-08-18,52.93
2013-08-19,58.96
2013-08-20,62.31
2013-08-21,67.0
2013-08-22,58.96
2013-08-23,59.63
2013-08-24,55.61000000000001
2013-08-25,56.95
2013-08-26,56.95
2013-08-27,61.64
2013-08-28,56.28
2013-08-29,58.290000000000006
2013-08-30,56.28
2013-08-31,49.580000000000005
2013-09-01,42.88
2013-09-02,47.36
2013-09-03,53.120000000000005
2013-09-04,52.480000000000004
2013-09-05,56.96
2013-09-06,52.480000000000004
2013-09-07,51.84
2013-09-08,44.800000000000004
2013-09-09,49.92
2013-09-10,55.68
2013-09-11,62.08
2013-09-12,64.0
2013-09-13,58.88
2013-09-14,54.4
2013-09-15,49.92
2013-09-16,52.480000000000004
2013-09-17,55.04
2013-09-18,53.76
2013-09-19,54.4
2013-09-20,57.6
2013-09-21,48.64
2013-09-22,42.24
2013-09-23,52.480000000000004
2013-09-24,55.68
2013-09-25,53.120000000000005
2013-09-26,56.96
2013-09-27,52.480000000000004
2013-09-28,49.92
2013-09-29,44.800000000000004
2013-09-30,49.28
2013-10-01,52.800000000000004
2013-10-02,56.1
2013-10-03,58.080000000000005
2013-10-04,52.800000000000004
2013-10-05,49.5
2013-10-06,46.2
2013-10-07,50.160000000000004
2013-10-08,59.400000000000006
2013-10-09,52.800000000000004
2013-10-10,52.800000000000004
2013-10-11,53.46
2013-10-12,42.9
2013-10-13,47.52
2013-10-14,53.46
2013-10-15,61.38
2013-10-16,55.440000000000005
2013-10-17,58.080000000000005
2013-10-18,58.080000000000005
2013-10-19,56.1
2013-10-20,44.22
2013-10-21,53.46
2013-10-22,66.0
2013-10-23,65.34
2013-10-24,65.34
2013-10-25,62.7
2013-10-26,58.080000000000005
2013-10-27,48.84
2013-10-28,59.400000000000006
2013-10-29,58.74
2013-10-30,60.720000000000006
2013-10-31,60.06
2013-11-01,37.74
2013-11-02,32.56
2013-11-03,34.04
2013-11-04,37.74
2013-11-05,37.74
2013-11-06,39.22
2013-11-07,39.96
2013-11-08,35.519999999999996
2013-11-09,32.56
2013-11-10,32.56
2013-11-11,34.04
2013-11-12,39.22
2013-11-13,39.96
2013-11-14,37.0
2013-11-15,37.0
2013-11-16,36.26
2013-11-17,33.3
2013-11-18,39.22
2013-11-19,42.92
2013-11-20,40.7
2013-11-21,42.92
2013-11-22,42.92
2013-11-23,37.0
2013-11-24,41.44
2013-11-25,44.4
2013-11-26,43.66
2013-11-27,46.62
2013-11-28,59.2
2013-11-29,74.0
2013-11-30,50.32
2013-12-01,60.589999999999996
2013-12-02,73.0
2013-12-03,71.53999999999999
2013-12-04,62.05
2013-12-05,59.129999999999995
2013-12-06,62.05
2013-12-07,56.21
2013-12-08,59.86
2013-12-09,57.67
2013-12-10,55.48
2013-12-11,59.86
2013-12-12,61.32
2013-12-13,63.51
2013-12-14,60.589999999999996
2013-12-15,54.75
2013-12-16,59.129999999999995
2013-12-17,63.51
2013-12-18,59.129999999999995
2013-12-19,58.4
2013-12-20,62.05
2013-12-21,51.1
2013-12-22,55.48
2013-12-23,56.21
2013-12-24,54.019999999999996
2013-12-25,60.589999999999996
2013-12-26,69.35
2013-12-27,67.16
2013-12-28,63.51
2013-12-29,57.67
2013-12-30,52.56
2013-12-31,58.4
2014-01-01,48.28
2014-01-02,53.959999999999994
2014-01-03,54.669999999999995
2014-01-04,51.12
2014-01-05,44.73
2014-01-06,54.669999999999995
2014-01-07,71.0
2014-01-08,71.0
2014-01-09,60.349999999999994
2014-01-10,63.19
2014-01-11,55.379999999999995
2014-01-12,48.989999999999995
2014-01-13,51.12
2014-01-14,61.059999999999995
2014-01-15,60.349999999999994
2014-01-16,63.19
2014-01-17,64.61
2014-01-18,57.51
2014-01-19,52.54
2014-01-20,56.089999999999996
2014-01-21,58.22
2014-01-22,62.48
2014-01-23,53.959999999999994
2014-01-24,57.51
2014-01-25,51.12
2014-01-26,48.989999999999995
2014-01-27,48.989999999999995
2014-01-28,55.379999999999995
2014-01-29,56.089999999999996
2014-01-30,56.089999999999996
2014-01-31,56.8
2014-02-01,48.910000000000004
2014-02-02,52.260000000000005
2014-02-03,53.6
2014-02-04,62.31
2014-02-05,58.96
2014-02-06,54.940000000000005
2014-02-07,60.970000000000006
2014-02-08,55.61000000000001
2014-02-09,54.27
2014-02-10,58.96
2014-02-11,56.95
2014-02-12,61.64
2014-02-13,62.31
2014-02-14,54.27
2014-02-15,58.96
2014-02-16,58.96
2014-02-17,57.620000000000005
2014-02-18,64.32000000000001
2014-02-19,67.0
2014-02-20,58.96
2014-02-21,61.64
2014-02-22,55.61000000000001
2014-02-23,51.59
2014-02-24,57.620000000000005
2014-02-25,56.95
2014-02-26,58.290000000000006
2014-02-27,62.980000000000004
2014-02-28,58.290000000000006
2014-03-01,53.95
2014-03-02,53.95
2014-03-03,52.65
2014-03-04,61.1
