date,Microsoft
2013-07-05,44.800000000000004
2013-07-06,39.68
2013-07-07,37.12
2013-07-08,54.4
2013-07-09,56.96
2013-07-10,59.52
2013-07-11,64.0
2013-07-12,56.32
2013-07-13,42.24
2013-07-14,40.32
2013-07-15,60.800000000000004
2013-07-16,58.24
2013-07-17,58.24
2013-07-18,60.160000000000004
2013-07-19,57.6
2013-07-20,44.800000000000004
2013-07-21,43.52
2013-07-22,58.24
2013-07-23,61.44
2013-07-24,59.52
2013-07-25,58.24
2013-07-26,53.76
2013-07-27,42.88
2013-07-28,44.160000000000004
2013-07-29,56.32
2013-07-30,58.88
2013-07-31,59.52
2013-08-01,57.67
2013-08-02,56.94
2013-08-03,43.8
2013-08-04,44.53
2013-08-05,59.129999999999995
2013-08-06,61.32
2013-08-07,59.86
2013-08-08,61.32
2013-08-09,55.48
2013-08-10,45.26
2013-08-11,46.72
2013-08-12,60.589999999999996
2013-08-13,62.78
2013-08-14,67.16
2013-08-15,62.05
2013-08-16,58.4
2013-08-17,48.18
2013-08-18,47.449999999999996
2013-08-19,65.7
2013-08-20,69.35
2013-08-21,69.35
2013-08-22,68.62
2013-08-23,68.62
2013-08-24,51.83
2013-08-25,51.1
2013-08-26,68.62
2013-08-27,70.81
2013-08-28,73.0
2013-08-29,68.62
2013-08-30,64.24
2013-08-31,46.72
2013-09-01,45.24
2013-09-02,52.260000000000005
2013-09-03,78.0
2013-09-04,70.98
2013-09-05,70.98
2013-09-06,62.400000000000006
2013-09-07,46.02
2013-09-08,49.14
2013-09-09,65.52
2013-09-10,70.2
2013-09-11,69.42
2013-09-12,73.32000000000001
2013-09-13,69.42
2013-09-14,52.260000000000005
2013-09-15,52.260000000000005
2013-09-16,72.54
2013-09-17,70.98
2013-09-18,70.2
2013-09-19,67.86
2013-09-20,61.620000000000005
2013-09-21,46.800000000000004
2013-09-22,52.260000000000005
2013-09-23,73.32000000000001
2013-09-24,72.54
2013-09-25,71.76
2013-09-26,69.42
2013-09-27,64.74000000000001
2013-09-28,47.58
2013-09-29,52.260000000000005
2013-09-30,69.42
2013-10-01,70.2
2013-10-02,69.42
2013-10-03,68.64
2013-10-04,61.620000000000005
2013-10-05,47.58
2013-10-06,51.480000000000004
2013-10-07,67.86
2013-10-08,70.98
2013-10-09,72.54
2013-10-10,67.86
2013-10-11,61.620000000000005
2013-10-12,46.02
2013-10-13,48.36
2013-10-14,64.74000000000001
2013-10-15,66.3
2013-10-16,67.86
2013-10-17,71.76
2013-10-18,68.64
2013-10-19,49.14
2013-10-20,53.04
2013-10-21,72.54
2013-10-22,73.32000000000001
2013-10-23,78.0
2013-10-24,72.54
2013-10-25,65.52
2013-10-26,49.92
2013-10-27,53.04
2013-10-28,70.2
2013-10-29,69.42
2013-10-30,71.76
2013-10-31,67.86
2013-11-01,53.9
2013-11-02,44.660000000000004
2013-11-03,46.2
2013-11-04,58.52
2013-11-05,60.83
2013-11-06,60.83
2013-11-07,60.83
2013-11-08,55.44
2013-11-09,43.89
2013-11-10,44.660000000000004
2013-11-11,53.9
2013-11-12,60.83
2013-11-13,63.910000000000004
2013-11-14,59.29
2013-11-15,56.980000000000004
2013-11-16,45.43
2013-11-17,45.43
2013-11-18,62.370000000000005
2013-11-19,62.370000000000005
2013-11-20,63.910000000000004
2013-11-21,66.99
2013-11-22,64.68
2013-11-23,50.050000000000004
2013-11-24,48.51
2013-11-25,61.6
2013-11-26,59.29
2013-11-27,58.52
2013-11-28,65.45
2013-11-29,77.0
2013-11-30,60.06
2013-12-01,55.5
2013-12-02,75.0
2013-12-03,73.5
2013-12-04,69.75
2013-12-05,67.5
2013-12-06,64.5
2013-12-07,52.5
2013-12-08,52.5
2013-12-09,72.75
2013-12-10,67.5
2013-12-11,64.5
2013-12-12,63.75
2013-12-13,58.5
2013-12-14,48.75
2013-12-15,48.75
2013-12-16,58.5
2013-12-17,62.25
2013-12-18,58.5
2013-12-19,59.25
2013-12-20,54.0
2013-12-21,43.5
2013-12-22,43.5
2013-12-23,50.25
2013-12-24,45.0
2013-12-25,63.75
2013-12-26,60.75
2013-12-27,56.25
2013-12-28,46.5
2013-12-29,46.5
2013-12-30,51.0
2013-12-31,48.75
2014-01-01,46.15
2014-01-02,61.059999999999995
2014-01-03,60.349999999999994
2014-01-04,47.57
2014-01-05,48.989999999999995
2014-01-06,61.769999999999996
2014-01-07,62.48
2014-01-08,68.86999999999999
2014-01-09,69.58
2014-01-10,63.9
2014-01-11,49.699999999999996
2014-01-12,53.959999999999994
2014-01-13,68.86999999999999
2014-01-14,71.0
2014-01-15,71.0
2014-01-16,69.58
2014-01-17,64.61
2014-01-18,53.25
2014-01-19,48.989999999999995
2014-01-20,60.349999999999994
2014-01-21,68.16
2014-01-22,69.58
2014-01-23,68.86999999999999
2014-01-24,63.19
2014-01-25,51.12
2014-01-26,50.41
2014-01-27,66.03
2014-01-28,70.28999999999999
2014-01-29,68.16
2014-01-30,68.16
2014-01-31,67.45
2014-02-01,49.68
2014-02-02,46.08
2014-02-03,61.919999999999995
2014-02-04,72.0
2014-02-05,69.12
2014-02-06,62.64
2014-02-07,59.04
2014-02-08,45.36
2014-02-09,45.36
2014-02-10,59.76
2014-02-11,60.48
2014-02-12,62.64
2014-02-13,59.04
2014-02-14,53.28
2014-02-15,42.48
2014-02-16,44.64
2014-02-17,54.0
2014-02-18,59.04
2014-02-19,61.919999999999995
2014-02-20,60.48
2014-02-21,55.44
2014-02-22,43.199999999999996
2014-02-23,45.36
2014-02-24,57.599999999999994
2014-02-25,60.48
2014-02-26,61.199999999999996
2014-02-27,59.76
2014-02-28,56.879999999999995
