date,Verizon
2013-09-28,43.56
2013-09-29,40.92
2013-09-30,44.22
2013-10-01,56.26
2013-10-02,55.099999999999994
2013-10-03,53.94
2013-10-04,56.26
2013-10-05,52.779999999999994
2013-10-06,52.779999999999994
2013-10-07,55.099999999999994
2013-10-08,53.36
2013-10-09,52.779999999999994
2013-10-10,53.36
2013-10-11,55.67999999999999
2013-10-12,54.519999999999996
2013-10-13,51.04
2013-10-14,53.36
2013-10-15,51.62
2013-10-16,51.62
2013-10-17,54.519999999999996
2013-10-18,53.94
2013-10-19,53.94
2013-10-20,49.3
2013-10-21,54.519999999999996
2013-10-22,57.99999999999999
2013-10-23,53.36
2013-10-24,51.62
2013-10-25,53.94
2013-10-26,51.62
2013-10-27,49.879999999999995
2013-10-28,54.519999999999996
2013-10-29,52.779999999999994
2013-10-30,50.459999999999994
2013-10-31,53.94
2013-11-01,48.13999999999999
2013-11-02,44.66
2013-11-03,40.599999999999994
2013-11-04,42.919999999999995
2013-11-05,40.599999999999994
2013-11-06,40.019999999999996
2013-11-07,40.599999999999994
2013-11-08,42.339999999999996
2013-11-09,40.019999999999996
2013-11-10,37.699999999999996
2013-11-11,38.86
2013-11-12,39.44
2013-11-13,39.44
2013-11-14,40.599999999999994
2013-11-15,43.5
2013-11-16,41.18
2013-11-17,37.12
2013-11-18,41.76
2013-11-19,40.599999999999994
2013-11-20,40.019999999999996
2013-11-21,40.019999999999996
2013-11-22,41.76
2013-11-23,41.76
2013-11-24,39.44
2013-11-25,42.339999999999996
2013-11-26,40.599999999999994
2013-11-27,43.5
2013-11-28,41.76
2013-11-29,57.99999999999999
2013-11-30,50.459999999999994
2013-12-01,46.8
2013-12-02,53.4
2013-12-03,51.0
2013-12-04,46.199999999999996
2013-12-05,46.199999999999996
2013-12-06,47.4
2013-12-07,45.6
2013-12-08,45.6
2013-12-09,45.0
2013-12-10,45.0
2013-12-11,44.4
2013-12-12,46.199999999999996
2013-12-13,46.8
2013-12-14,46.199999999999996
2013-12-15,46.199999999999996
2013-12-16,47.4
2013-12-17,45.0
2013-12-18,45.0
2013-12-19,46.199999999999996
2013-12-20,49.8
2013-12-21,49.199999999999996
2013-12-22,45.6
2013-12-23,49.8
2013-12-24,47.4
2013-12-25,49.8
2013-12-26,60.0
2013-12-27,57.0
2013-12-28,49.8
2013-12-29,48.0
2013-12-30,50.4
2013-12-31,48.0
2014-01-01,46.980000000000004
2014-01-02,54.0
2014-01-03,54.0
2014-01-04,51.84
2014-01-05,45.900000000000006
2014-01-06,47.52
2014-01-07,47.52
2014-01-08,48.06
2014-01-09,48.6
2014-01-10,49.14
2014-01-11,47.52
2014-01-12,44.82
2014-01-13,43.74
2014-01-14,47.52
