date,NVIDIA
2013-05-13,42.21
2013-05-14,50.4
2013-05-15,44.1
2013-05-16,49.14
2013-05-17,52.29
2013-05-18,52.29
2013-05-19,53.55
2013-05-20,44.73
2013-05-21,42.84
2013-05-22,51.03
2013-05-23,57.33
2013-05-24,61.74
2013-05-25,63.0
2013-05-26,58.59
2013-05-27,47.25
2013-05-28,44.73
2013-05-29,42.84
2013-05-30,51.660000000000004
2013-05-31,51.660000000000004
2013-06-01,56.95
2013-06-02,54.940000000000005
2013-06-03,52.93
2013-06-04,46.900000000000006
2013-06-05,54.940000000000005
2013-06-06,46.900000000000006
2013-06-07,52.260000000000005
2013-06-08,56.28
2013-06-09,50.25
2013-06-10,46.230000000000004
2013-06-11,56.28
2013-06-12,48.24
2013-06-13,50.25
2013-06-14,60.970000000000006
2013-06-15,56.95
2013-06-16,56.28
2013-06-17,52.260000000000005
2013-06-18,51.59
2013-06-19,50.25
2013-06-20,67.0
2013-06-21,62.980000000000004
2013-06-22,58.290000000000006
2013-06-23,54.940000000000005
2013-06-24,52.93
2013-06-25,61.64
2013-06-26,58.96
2013-06-27,56.95
2013-06-28,55.61000000000001
2013-06-29,53.6
2013-06-30,56.28
2013-07-01,52.260000000000005
2013-07-02,56.95
2013-07-03,50.25
2013-07-04,58.96
2013-07-05,50.92
2013-07-06,48.24
2013-07-07,52.260000000000005
2013-07-08,42.88
2013-07-09,45.56
2013-07-10,49.580000000000005
2013-07-11,48.24
2013-07-12,49.580000000000005
2013-07-13,53.6
2013-07-14,54.27
2013-07-15,54.940000000000005
2013-07-16,50.92
2013-07-17,52.93
2013-07-18,56.28
2013-07-19,55.61000000000001
2013-07-20,54.940000000000005
2013-07-21,48.910000000000004
2013-07-22,51.59
2013-07-23,46.230000000000004
2013-07-24,54.27
2013-07-25,50.25
2013-07-26,43.550000000000004
2013-07-27,53.6
2013-07-28,47.57
2013-07-29,41.54
2013-07-30,51.59
2013-07-31,67.0
2013-08-01,62.400000000000006
2013-08-02,65.0
2013-08-03,63.7
2013-08-04,62.400000000000006
2013-08-05,51.35
2013-08-06,54.6
2013-08-07,61.1
2013-08-08,59.800000000000004
2013-08-09,54.6
2013-08-10,61.1
2013-08-11,59.15
2013-08-12,56.550000000000004
2013-08-13,53.95
2013-08-14,58.5
2013-08-15,56.550000000000004
2013-08-16,55.25
2013-08-17,60.45
2013-08-18,61.75
2013-08-19,52.65
2013-08-20,50.050000000000004
2013-08-21,53.300000000000004
2013-08-22,54.6
2013-08-23,52.0
2013-08-24,63.7
2013-08-25,62.400000000000006
2013-08-26,48.75
2013-08-27,49.4
2013-08-28,54.6
2013-08-29,57.2
2013-08-30,56.550000000000004
2013-08-31,52.65
2013-09-01,53.69
2013-09-02,59.0
2013-09-03,53.69
2013-09-04,50.15
2013-09-05,54.87
2013-09-06,51.919999999999995
2013-09-07,57.82
2013-09-08,55.459999999999994
2013-09-09,48.379999999999995
2013-09-10,50.15
2013-09-11,51.33
2013-09-12,48.97
2013-09-13,50.739999999999995
2013-09-14,50.15
2013-09-15,56.64
2013-09-16,44.839999999999996
2013-09-17,46.019999999999996
2013-09-18,50.15
2013-09-19,51.919999999999995
2013-09-20,54.87
2013-09-21,52.51
2013-09-22,52.51
2013-09-23,44.839999999999996
2013-09-24,54.279999999999994
2013-09-25,48.97
2013-09-26,48.379999999999995
2013-09-27,51.919999999999995
2013-09-28,51.33
2013-09-29,47.199999999999996
2013-09-30,46.019999999999996
2013-10-01,51.74999999999999
2013-10-02,49.67999999999999
2013-10-03,42.089999999999996
2013-10-04,46.919999999999995
2013-10-05,60.72
2013-10-06,50.37
2013-10-07,40.019999999999996
2013-10-08,48.3
2013-10-09,42.089999999999996
2013-10-10,42.779999999999994
2013-10-11,42.089999999999996
2013-10-12,45.54
2013-10-13,44.16
2013-10-14,38.64
2013-10-15,37.949999999999996
2013-10-16,39.33
2013-10-17,41.4
2013-10-18,53.81999999999999
2013-10-19,60.029999999999994
2013-10-20,56.58
2013-10-21,55.199999999999996
2013-10-22,59.339999999999996
2013-10-23,54.51
2013-10-24,48.3
2013-10-25,48.3
2013-10-26,55.88999999999999
2013-10-27,46.23
2013-10-28,55.88999999999999
2013-10-29,69.0
2013-10-30,60.029999999999994
2013-10-31,57.959999999999994
2013-11-01,47.12
2013-11-02,50.160000000000004
2013-11-03,49.4
2013-11-04,46.36
