date,Disney
2014-01-25,46.800000000000004
2014-01-26,48.36
2014-01-27,35.36
2014-01-28,35.88
2014-01-29,34.32
2014-01-30,33.28
2014-01-31,33.800000000000004
2014-02-01,42.32
2014-02-02,41.86
2014-02-03,33.120000000000005
2014-02-04,32.660000000000004
2014-02-05,33.120000000000005
2014-02-06,33.58
2014-02-07,33.120000000000005
2014-02-08,41.4
2014-02-09,44.620000000000005
2014-02-10,34.5
2014-02-11,32.2
2014-02-12,31.740000000000002
2014-02-13,33.58
2014-02-14,33.120000000000005
2014-02-15,41.4
2014-02-16,45.080000000000005
2014-02-17,39.56
2014-02-18,34.5
2014-02-19,33.120000000000005
2014-02-20,31.28
2014-02-21,33.58
2014-02-22,41.86
2014-02-23,46.0
2014-02-24,34.96
2014-02-25,35.42
2014-02-26,34.5
2014-02-27,34.04
2014-02-28,34.5
2014-03-01,45.39
2014-03-02,48.96
2014-03-03,39.27
2014-03-04,37.230000000000004
2014-03-05,35.7
2014-03-06,36.72
2014-03-07,36.21
2014-03-08,43.35
2014-03-09,45.39
2014-03-10,34.68
2014-03-11,33.660000000000004
2014-03-12,34.17
2014-03-13,34.68
2014-03-14,35.19
2014-03-15,43.35
2014-03-16,45.9
2014-03-17,37.230000000000004
2014-03-18,42.33
2014-03-19,40.8
2014-03-20,38.25
2014-03-21,37.74
2014-03-22,47.43
2014-03-23,51.0
2014-03-24,39.78
2014-03-25,38.25
2014-03-26,37.230000000000004
2014-03-27,37.230000000000004
2014-03-28,37.230000000000004
