date,sba loans
2013-08-27,2.46
2013-08-28,2.07
2013-08-29,1.89
2013-08-30,0.6599999999999999
2013-08-31,2.31
2013-09-01,1.6199999999999999
2013-09-02,0.75
2013-09-03,1.89
2013-09-04,2.1
2013-09-05,3.0
2013-09-06,1.1099999999999999
2013-09-07,1.56
2013-09-08,1.5
2013-09-09,1.05
2013-09-10,2.46
2013-09-11,2.07
2013-09-12,2.1
2013-09-13,1.08
2013-09-14,0.78
2013-09-15,0.99
2013-09-16,1.8299999999999998
2013-09-17,2.6999999999999997
2013-09-18,2.4899999999999998
2013-09-19,2.19
2013-09-20,1.1099999999999999
2013-09-21,2.34
2013-09-22,1.53
2013-09-23,1.89
2013-09-24,1.68
2013-09-25,3.0
2013-09-26,2.19
2013-09-27,2.28
2013-09-28,0.8099999999999999
2013-09-29,1.29
2013-09-30,2.1
2013-10-01,1.08
2013-10-02,1.26
2013-10-03,1.5899999999999999
2013-10-04,1.65
2013-10-05,0.8999999999999999
2013-10-06,1.74
2013-10-07,1.26
2013-10-08,1.5899999999999999
2013-10-09,1.92
2013-10-10,1.95
2013-10-11,2.25
2013-10-12,1.5
2013-10-13,0.78
2013-10-14,1.2
2013-10-15,3.0
2013-10-16,1.26
2013-10-17,2.25
2013-10-18,2.4899999999999998
2013-10-19,0.6
2013-10-20,1.38
2013-10-21,1.65
2013-10-22,1.71
2013-10-23,1.26
2013-10-24,2.07
2013-10-25,1.17
2013-10-26,0.0
2013-10-27,0.57
2013-10-28,1.23
2013-10-29,2.16
2013-10-30,1.17
2013-10-31,1.29
2013-11-01,0.54
2013-11-02,1.5899999999999999
2013-11-03,2.52
2013-11-04,1.53
2013-11-05,0.51
2013-11-06,1.26
2013-11-07,1.53
2013-11-08,2.1
2013-11-09,1.26
2013-11-10,0.63
2013-11-11,1.7999999999999998
2013-11-12,0.99
2013-11-13,0.99
2013-11-14,0.75
2013-11-15,1.3199999999999998
2013-11-16,0.63
2013-11-17,1.8299999999999998
2013-11-18,1.74
2013-11-19,2.2199999999999998
2013-11-20,2.73
2013-11-21,2.01
2013-11-22,1.05
2013-11-23,1.23
2013-11-24,0.63
2013-11-25,1.5
2013-11-26,3.0
2013-11-27,1.3199999999999998
2013-11-28,0.6599999999999999
2013-11-29,0.6
2013-11-30,0.63
2013-12-01,0.9
2013-12-02,0.98
2013-12-03,1.52
2013-12-04,1.02
2013-12-05,1.56
2013-12-06,1.06
2013-12-07,0.8
2013-12-08,0.0
2013-12-09,1.54
2013-12-10,1.16
2013-12-11,0.78
2013-12-12,0.54
2013-12-13,0.7000000000000001
2013-12-14,0.48
2013-12-15,2.0
2013-12-16,0.8
