date,Adobe
2014-01-10,59.129999999999995
2014-01-11,50.37
2014-01-12,48.91
2014-01-13,60.589999999999996
2014-01-14,66.42999999999999
2014-01-15,66.42999999999999
2014-01-16,70.08
2014-01-17,73.0
2014-01-18,55.48
2014-01-19,54.019999999999996
2014-01-20,60.589999999999996
2014-01-21,70.81
2014-01-22,70.81
2014-01-23,69.35
2014-01-24,65.7
2014-01-25,54.019999999999996
2014-01-26,51.1
2014-01-27,62.78
2014-01-28,64.97
2014-01-29,63.51
2014-01-30,63.51
2014-01-31,63.51
2014-02-01,46.08
2014-02-02,42.48
2014-02-03,47.519999999999996
2014-02-04,55.44
2014-02-05,72.0
2014-02-06,64.8
2014-02-07,56.16
2014-02-08,46.08
2014-02-09,45.36
2014-02-10,54.72
2014-02-11,56.16
2014-02-12,52.559999999999995
2014-02-13,51.839999999999996
2014-02-14,46.8
2014-02-15,37.44
2014-02-16,41.04
2014-02-17,46.8
2014-02-18,51.839999999999996
2014-02-19,52.559999999999995
2014-02-20,48.96
2014-02-21,52.559999999999995
2014-02-22,41.04
2014-02-23,42.48
2014-02-24,48.96
2014-02-25,51.12
2014-02-26,54.0
2014-02-27,50.4
2014-02-28,48.96
2014-03-01,49.4
2014-03-02,52.0
2014-03-03,56.550000000000004
2014-03-04,61.75
2014-03-05,60.45
2014-03-06,64.35000000000001
2014-03-07,57.85
2014-03-08,47.45
2014-03-09,45.5
2014-03-10,61.1
2014-03-11,61.75
2014-03-12,65.0
2014-03-13,61.75
2014-03-14,58.5
2014-03-15,46.800000000000004
2014-03-16,46.800000000000004
2014-03-17,58.5
2014-03-18,61.1
2014-03-19,60.45
2014-03-20,60.45
2014-03-21,57.85
2014-03-22,42.25
2014-03-23,46.15
2014-03-24,59.15
2014-03-25,61.75
2014-03-26,63.7
2014-03-27,61.75
