date,CocaCola
2013-09-29,35.88
2013-09-30,19.240000000000002
2013-10-01,39.33
2013-10-02,31.919999999999998
2013-10-03,31.919999999999998
2013-10-04,25.08
2013-10-05,13.68
2013-10-06,26.22
2013-10-07,23.939999999999998
2013-10-08,29.069999999999997
2013-10-09,29.639999999999997
2013-10-10,27.36
2013-10-11,17.099999999999998
2013-10-12,30.209999999999997
2013-10-13,13.11
2013-10-14,29.639999999999997
2013-10-15,26.22
2013-10-16,47.879999999999995
2013-10-17,21.659999999999997
2013-10-18,27.929999999999996
2013-10-19,19.95
2013-10-20,26.22
2013-10-21,45.029999999999994
2013-10-22,26.22
2013-10-23,39.9
2013-10-24,34.769999999999996
2013-10-25,41.61
2013-10-26,41.04
2013-10-27,32.489999999999995
2013-10-28,56.99999999999999
2013-10-29,43.88999999999999
2013-10-30,31.349999999999998
2013-10-31,56.99999999999999
2013-11-01,50.400000000000006
2013-11-02,20.720000000000002
2013-11-03,40.32000000000001
2013-11-04,38.080000000000005
2013-11-05,34.720000000000006
2013-11-06,35.28
2013-11-07,32.480000000000004
2013-11-08,31.360000000000003
2013-11-09,20.720000000000002
2013-11-10,23.520000000000003
2013-11-11,30.240000000000002
2013-11-12,26.320000000000004
2013-11-13,38.080000000000005
2013-11-14,38.080000000000005
2013-11-15,33.6
2013-11-16,33.6
2013-11-17,45.92
2013-11-18,31.92
2013-11-19,34.160000000000004
2013-11-20,24.080000000000002
2013-11-21,19.040000000000003
2013-11-22,28.000000000000004
2013-11-23,36.400000000000006
2013-11-24,56.00000000000001
2013-11-25,21.28
2013-11-26,32.480000000000004
2013-11-27,25.76
2013-11-28,20.720000000000002
2013-11-29,25.76
2013-11-30,40.32000000000001
2013-12-01,16.5
2013-12-02,40.0
2013-12-03,19.5
2013-12-04,19.5
2013-12-05,23.5
2013-12-06,20.5
2013-12-07,50.0
2013-12-08,30.5
2013-12-09,30.5
2013-12-10,19.5
2013-12-11,13.0
2013-12-12,15.0
2013-12-13,13.5
2013-12-14,16.0
2013-12-15,27.5
2013-12-16,19.5
2013-12-17,15.0
2013-12-18,31.0
2013-12-19,17.5
2013-12-20,14.5
2013-12-21,26.5
2013-12-22,19.5
2013-12-23,19.0
2013-12-24,23.5
2013-12-25,25.5
2013-12-26,18.0
2013-12-27,15.0
2013-12-28,14.5
2013-12-29,7.0
2013-12-30,16.0
2013-12-31,25.0
2014-01-01,45.6
2014-01-02,27.36
2014-01-03,27.36
2014-01-04,35.04
2014-01-05,24.0
2014-01-06,20.16
2014-01-07,22.56
2014-01-08,38.4
2014-01-09,23.52
2014-01-10,48.0
2014-01-11,42.72
2014-01-12,24.48
2014-01-13,23.04
2014-01-14,17.28
2014-01-15,14.399999999999999
2014-01-16,31.68
2014-01-17,33.12
2014-01-18,32.16
2014-01-19,16.32
2014-01-20,24.0
2014-01-21,34.08
2014-01-22,39.839999999999996
2014-01-23,23.04
2014-01-24,40.8
2014-01-25,31.68
2014-01-26,31.2
2014-01-27,44.16
2014-01-28,24.96
2014-01-29,25.439999999999998
2014-01-30,28.799999999999997
2014-01-31,35.519999999999996
2014-02-01,14.7
2014-02-02,8.399999999999999
2014-02-03,70.0
2014-02-04,65.8
2014-02-05,30.799999999999997
2014-02-06,39.199999999999996
2014-02-07,14.0
2014-02-08,17.5
2014-02-09,14.7
2014-02-10,14.0
